date,returns
2016-01-04,0.02739955
2016-01-05,0.00301485
2016-01-06,0.00692374
2016-01-07,0.02017792
2016-01-08,0.01524487
2016-01-11,0.01077999
2016-01-12,-0.00509437
2016-01-13,-0.01436468
2016-01-14,0.00672823
2016-01-15,-0.00633137
2016-01-18,0.0122886
2016-01-19,0.00384852
2016-01-20,-0.00843628
2016-01-21,0.00433107
2016-01-22,0.00934924
2016-01-25,0.00305581
2016-01-26,-0.00759426
2016-01-27,0.00387339
2016-01-28,0.00473778
2016-01-29,0.00932422
2016-02-01,0.00836406
2016-02-02,-0.00823708
2016-02-03,-0.00416369
2016-02-04,0.00712464
2016-02-05,-0.01593128
2016-02-08,0.0100159
2016-02-09,-0.008664
2016-02-10,-0.00385841
2016-02-11,0.01696462
2016-02-12,0.00021407
2016-02-15,-0.00246708
2016-02-16,0.00408228
2016-02-17,1.561e-05
2016-02-18,-0.00526468
2016-02-19,0.00347388
2016-02-22,0.02141823
2016-02-23,0.01216532
2016-02-24,0.00635558
2016-02-25,0.00401091
2016-02-26,0.00987163
2016-02-29,0.0079273
2016-03-01,-0.00831552
2016-03-02,0.00655371
2016-03-03,0.00155529
2016-03-04,0.01838899
2016-03-07,-0.00149368
2016-03-08,0.01501655
2016-03-09,-0.01278533
2016-03-10,0.00489797
2016-03-11,-0.00740359
2016-03-14,-0.00919436
2016-03-15,0.01016817
2016-03-16,-0.0103963
2016-03-17,-0.00063217
2016-03-18,-0.006846
2016-03-21,0.00536718
2016-03-22,0.0039463
2016-03-23,-0.02104035
2016-03-24,0.01008614
2016-03-25,-0.00670906
2016-03-28,0.0256022
2016-03-29,0.01423139
2016-03-30,0.01518507
2016-03-31,-0.03393137
2016-04-01,0.03490688
2016-04-04,0.0024834
2016-04-05,-0.02537127
2016-04-06,0.00806009
2016-04-07,0.02657377
2016-04-08,-0.03083579
2016-04-11,0.02517816
2016-04-12,-0.00568941
2016-04-13,-0.01014793
2016-04-14,-0.00670035
2016-04-15,-0.01346776
2016-04-18,0.00491821
2016-04-19,0.00542266
2016-04-20,0.01704304
2016-04-21,0.02270522
2016-04-22,-0.00389728
2016-04-25,0.01775508
2016-04-26,-0.01668642
2016-04-27,0.01143178
2016-04-28,-0.01537349
2016-04-29,-0.0073589
2016-05-02,0.01012969
2016-05-03,-0.00908798
2016-05-04,0.00792239
2016-05-05,-0.01765144
2016-05-06,-0.00873048
2016-05-09,0.00845227
2016-05-10,0.02066312
2016-05-11,-0.01524877
2016-05-12,0.024176
2016-05-13,0.00544647
2016-05-16,0.03513882
2016-05-17,-0.00452851
2016-05-18,-0.00768954
2016-05-19,0.00653786
2016-05-20,-0.01549422
2016-05-23,0.00311646
2016-05-24,0.0002149
2016-05-25,0.01894226
2016-05-26,0.00600367
2016-05-27,-0.01568871
2016-05-30,-0.01724066
2016-05-31,-0.01300758
2016-06-01,-0.02915048
2016-06-02,-0.03698751
2016-06-03,0.04717402
2016-06-06,-0.02082464
2016-06-07,0.03410303
2016-06-08,-0.0184283
2016-06-09,-0.00904506
2016-06-10,-0.03880554
2016-06-13,0.03434803
2016-06-14,-0.00937734
2016-06-15,0.04296152
2016-06-16,-0.01827823
2016-06-17,0.03527006
2016-06-20,0.04208705
2016-06-21,-0.04301828
2016-06-22,0.015711
2016-06-23,-0.02902074
2016-06-24,-0.03239835
2016-06-27,0.00473743
2016-06-28,0.02299672
2016-06-29,0.03617575
2016-06-30,-0.00814609
2016-07-01,0.02599435
2016-07-04,0.01506452
2016-07-05,0.00081998
2016-07-06,-0.01915627
2016-07-07,0.00188523
2016-07-08,0.06901677
2016-07-11,-0.02835968
2016-07-12,-0.00426329
2016-07-13,-0.02415033
2016-07-14,0.03863672
2016-07-15,0.05302456
2016-07-18,0.04511
2016-07-19,0.069154
2016-07-20,-0.00228322
2016-07-21,0.06297726
2016-07-22,-0.0332109
2016-07-25,0.06247188
2016-07-26,0.06489364
2016-07-27,-0.02812895
2016-07-28,0.04165149
2016-07-29,-0.04508893
2016-08-01,-0.05881689
2016-08-02,-0.06185124
2016-08-03,-0.05177981
2016-08-04,-0.05379141
2016-08-05,-0.00496734
2016-08-08,0.0765024
2016-08-09,-0.01226601
2016-08-10,-0.03787027
2016-08-11,0.02987963
2016-08-12,-0.0098737
2016-08-15,0.00375813
2016-08-16,0.01389473
2016-08-17,0.01415928
2016-08-18,-0.01956257
2016-08-19,-0.00638684
2016-08-22,0.02426832
2016-08-23,-0.00888159
2016-08-24,-0.00504142
2016-08-25,0.00709725
2016-08-26,0.00890495
2016-08-29,-0.0052
2016-08-30,0.01027339
