date,returns
2014-01-02,0.00349119
2014-01-03,0.00840579
2014-01-06,-0.00614615
2014-01-07,-0.0094869
2014-01-08,-0.02125327
2014-01-09,0.01260754
2014-01-10,0.00070692
2014-01-13,0.00292373
2014-01-14,-0.00828625
2014-01-15,0.01401145
2014-01-16,0.01117324
2014-01-17,-0.0008733
2014-01-20,-0.0054614
2014-01-21,-0.00320287
2014-01-22,-0.00745453
2014-01-23,0.00076113
2014-01-24,-0.00528151
2014-01-27,0.00586079
2014-01-28,-0.00270783
2014-01-29,-0.00254706
2014-01-30,0.01328259
2014-01-31,-0.00599854
2014-02-03,-0.01332845
2014-02-04,0.00398529
2014-02-05,-0.01853492
2014-02-06,0.00331141
2014-02-07,0.01047801
2014-02-10,0.00121456
2014-02-11,0.00059014
2014-02-12,-0.0185295
2014-02-13,0.00645484
2014-02-14,0.00461347
2014-02-17,-0.01119092
2014-02-18,0.02003234
2014-02-19,-0.01360943
2014-02-20,-0.01935813
2014-02-21,-0.02279811
2014-02-24,0.00086995
2014-02-25,0.00505283
2014-02-26,0.00616202
2014-02-27,-0.00364944
2014-02-28,-0.00904162
2014-03-03,0.01023432
2014-03-04,-0.0097293
2014-03-05,-0.01317482
2014-03-06,0.01672907
2014-03-07,0.00265565
2014-03-10,0.00593825
2014-03-11,0.00744457
2014-03-12,-0.00566313
2014-03-13,-0.00506412
2014-03-14,0.00697101
2014-03-17,-0.00557785
2014-03-18,0.00372375
2014-03-19,-0.00032496
2014-03-20,-0.01004082
2014-03-21,0.00928638
2014-03-24,-0.01127944
2014-03-25,0.00271406
2014-03-26,0.00111017
2014-03-27,0.01154609
2014-03-28,-0.0096467
2014-03-31,-0.0045248
2014-04-01,-0.00040179
2014-04-02,0.0020579
2014-04-03,0.0076902
2014-04-04,0.00307463
2014-04-07,0.00069878
2014-04-08,0.00841663
2014-04-09,0.01692729
2014-04-10,-0.01192632
2014-04-11,0.00044476
2014-04-14,0.00747492
2014-04-15,0.00127669
2014-04-16,0.01294656
2014-04-17,-0.00257599
2014-04-18,-0.00848449
2014-04-21,0.00829378
2014-04-22,-0.02424159
2014-04-23,-0.00501294
2014-04-24,0.02686887
2014-04-25,0.00085388
2014-04-28,0.00506793
2014-04-29,-0.01109811
2014-04-30,0.00021871
2014-05-01,-0.00113695
2014-05-02,0.02084727
2014-05-05,-0.01186679
2014-05-06,-0.03334772
2014-05-07,0.00692647
2014-05-08,0.0238486
2014-05-09,-0.01054433
2014-05-12,-0.02783984
2014-05-13,-0.01795317
2014-05-14,0.00797715
2014-05-15,-0.00874416
2014-05-16,0.00116926
2014-05-19,-0.03466837
2014-05-20,-0.00884498
2014-05-21,0.01405136
2014-05-22,-0.00394
2014-05-23,-0.01577678
2014-05-26,0.01719278
2014-05-27,0.01618219
2014-05-28,-0.00685518
2014-05-29,-0.01070633
2014-05-30,0.01929983
2014-06-02,-0.00781742
2014-06-03,-0.00187421
2014-06-04,0.02528782
2014-06-05,0.00334094
2014-06-06,-0.0066316
2014-06-09,-0.02677431
2014-06-10,0.00105417
2014-06-11,-0.00078027
2014-06-12,-0.00822349
2014-06-13,0.01300975
2014-06-16,-0.01679777
2014-06-17,-0.02136451
2014-06-18,-0.01115611
2014-06-19,-0.00028672
2014-06-20,-0.02042323
2014-06-23,-0.01707207
2014-06-24,-0.01252091
2014-06-25,-0.0008322
2014-06-26,-0.01014423
2014-06-27,0.01274285
2014-06-30,-0.03007387
2014-07-01,0.00560514
2014-07-02,-0.00982572
2014-07-03,0.00597108
2014-07-04,0.02681148
2014-07-07,-0.00204922
2014-07-08,0.00202347
2014-07-09,0.01087095
2014-07-10,-0.01886068
2014-07-11,0.00861554
2014-07-14,0.0104309
2014-07-15,-0.00255957
2014-07-16,0.00763545
2014-07-17,0.00095258
2014-07-18,-0.00944028
2014-07-21,-0.01564854
2014-07-22,0.01122335
2014-07-23,0.02065297
2014-07-24,-0.0108922
2014-07-25,0.00407009
2014-07-28,-0.01541081
2014-07-29,-0.00655894
2014-07-30,-0.00660663
2014-07-31,-0.01393865
2014-08-01,-0.00144294
2014-08-04,0.01089793
2014-08-05,0.00591567
2014-08-06,-0.00608052
2014-08-07,0.01474052
2014-08-08,0.00201993
2014-08-11,0.01865459
2014-08-12,-0.01552888
2014-08-13,0.03607444
2014-08-14,-0.00357681
2014-08-15,-0.01867874
2014-08-18,-0.01734567
2014-08-19,0.01405098
2014-08-20,0.01339444
2014-08-21,0.0117406
2014-08-22,0.0084295
2014-08-25,-0.01658108
2014-08-26,-0.00263761
2014-08-27,-0.03229225
2014-08-28,-0.01523632
2014-08-29,0.01038756
2014-09-01,-0.03039426
2014-09-02,0.04178491
2014-09-03,0.02612742
2014-09-04,-0.02568876
2014-09-05,0.01509069
2014-09-08,0.01101736
2014-09-09,-0.00351223
2014-09-10,0.01066346
2014-09-11,-0.00543791
2014-09-12,-0.00080931
2014-09-15,0.00861364
2014-09-16,0.00723745
2014-09-17,0.00486203
2014-09-18,0.00494282
2014-09-19,0.01317922
2014-09-22,0.01073485
2014-09-23,-0.01530937
2014-09-24,-0.00986314
2014-09-25,0.01945674
2014-09-26,0.02186731
2014-09-29,0.00854001
2014-09-30,-0.00348211
2014-10-01,0.01143333
2014-10-02,0.00941836
2014-10-03,-0.01931675
2014-10-06,0.00140099
2014-10-07,-0.01760566
2014-10-08,-0.00572205
2014-10-09,0.00090864
2014-10-10,0.02160303
2014-10-13,-0.02789156
2014-10-14,-0.00504394
2014-10-15,0.01059989
2014-10-16,0.01007668
2014-10-17,0.01233405
2014-10-20,-0.01309468
2014-10-21,-0.00126333
2014-10-22,-0.00548061
2014-10-23,0.01674329
2014-10-24,-0.00126796
2014-10-27,0.00071987
2014-10-28,0.00270662
2014-10-29,-0.01389706
2014-10-30,0.00640393
2014-10-31,-0.01165817
2014-11-03,0.00254154
2014-11-04,-0.00720342
2014-11-05,0.01296188
2014-11-06,0.00090414
2014-11-07,0.02010437
2014-11-10,-0.0251805
2014-11-11,0.0191776
2014-11-12,0.01268917
2014-11-13,0.00458124
2014-11-14,0.02977783
2014-11-17,-0.0217867
2014-11-18,0.00397362
2014-11-19,0.01978814
2014-11-20,0.01011346
2014-11-21,-0.00527593
2014-11-24,0.00991709
2014-11-25,-0.00533896
2014-11-26,-0.00407702
2014-11-27,-0.00797465
2014-11-28,0.01359951
2014-12-01,0.00439893
2014-12-02,0.0304677
2014-12-03,0.01299374
2014-12-04,-0.02100201
2014-12-05,0.01278013
2014-12-08,-0.01579972
2014-12-09,-0.00365896
2014-12-10,0.0025173
2014-12-11,-0.01425811
2014-12-12,-0.00639264
2014-12-15,-0.00832246
2014-12-16,0.00229151
2014-12-17,-0.00038696
2014-12-18,-0.00069315
