date,returns,true_volatility
2014-01-02,0.00413201,0.01224745
2014-01-03,-0.01186627,0.01179467
2014-01-06,0.00928361,0.01183769
2014-01-07,0.01134183,0.01163325
2014-01-08,-0.02220428,0.01158579
2014-01-09,-0.01630276,0.01282677
2014-01-10,0.00208409,0.01317335
2014-01-13,-0.00359576,0.0126351
2014-01-14,0.00019557,0.01216778
2014-01-15,-0.00955665,0.01167191
2014-01-16,0.01055707,0.01155003
2014-01-17,0.00930734,0.01145208
2014-01-20,0.0011447,0.01127803
2014-01-21,0.01260812,0.01083009
2014-01-22,0.00552467,0.01096165
2014-01-23,-0.00873216,0.01062753
2014-01-24,0.00428418,0.01053334
2014-01-27,-0.00936331,0.01018197
2014-01-28,0.00933552,0.01017191
2014-01-29,-0.00010433,0.01010164
2014-01-30,-0.00139592,0.00971492
2014-01-31,-0.00597473,0.00936181
2014-02-03,0.01163851,0.00919274
2014-02-04,-0.00105377,0.00940773
2014-02-05,-0.00348361,0.00906691
2014-02-06,-0.00270031,0.00880436
2014-02-07,0.0049421,0.00853283
2014-02-10,0.00344454,0.00833107
2014-02-11,0.00373782,0.00808713
2014-02-12,0.00378974,0.00786809
2014-02-13,0.01681604,0.00766514
2014-02-14,-0.00315527,0.00874788
2014-02-17,-0.00395103,0.00849408
2014-02-18,-0.00634354,0.00828676
2014-02-19,0.00546559,0.00822363
2014-02-20,0.00950867,0.00806811
2014-02-21,-0.0005353,0.00820813
2014-02-24,-0.00626217,0.00792967
2014-02-25,-0.00610616,0.00789122
2014-02-26,0.00550428,0.00784559
2014-02-27,0.00613789,0.00771996
2014-02-28,0.00454964,0.00763989
2014-03-03,-0.00457988,0.0074828
2014-03-04,0.00211292,0.00737814
2014-03-05,0.00123553,0.00716047
2014-03-06,0.00191849,0.00694361
2014-03-07,0.00628191,0.00674973
2014-03-10,0.00191198,0.00676213
2014-03-11,0.00486712,0.00657981
2014-03-12,0.00084053,0.00651873
2014-03-13,0.00223277,0.00633916
2014-03-14,0.00430874,0.00619169
2014-03-17,-0.00853617,0.00613261
2014-03-18,-0.00167448,0.00648942
2014-03-19,-0.00258109,0.00633772
2014-03-20,-0.00357763,0.00622597
2014-03-21,-0.00129698,0.00616764
2014-03-24,0.00941271,0.00602881
2014-03-25,-0.005149,0.00640887
2014-03-26,0.00662569,0.00642965
2014-03-27,-0.01053483,0.00649773
2014-03-28,-0.0019558,0.00703465
2014-03-31,0.0015155,0.00685394
2014-04-01,0.00430391,0.00665944
2014-04-02,0.00506795,0.00656323
2014-04-03,0.00556848,0.00651478
2014-04-04,-0.00186697,0.00650074
2014-04-07,-0.00253757,0.00635353
2014-04-08,0.00575288,0.00623896
2014-04-09,-0.00079796,0.00626209
2014-04-10,-0.00739102,0.00610731
2014-04-11,-0.00679422,0.0063481
2014-04-14,-0.00558083,0.00650477
2014-04-15,0.003655,0.00654718
2014-04-16,0.00131591,0.00643081
2014-04-17,0.00472315,0.00626102
2014-04-18,-0.0022568,0.00621832
2014-04-21,0.00136764,0.00610345
