date,returns,true_volatility
2014-01-02,-0.001658,0.02351775
2014-01-03,-0.0236935,0.02371436
2014-01-06,0.02407791,0.02623492
2014-01-07,-0.01156935,0.02665646
2014-01-08,0.03933962,0.02780048
2014-01-09,-0.04143213,0.02849683
2014-01-10,0.01550744,0.03286463
2014-01-13,-0.00033388,0.03294893
2014-01-14,0.02396774,0.03279049
2014-01-15,-0.02721213,0.03304686
2014-01-16,0.01000844,0.03567232
2014-01-17,0.05426356,0.0355694
2014-01-20,-0.04031077,0.03636307
2014-01-21,-0.01655867,0.04030676
2014-01-22,0.04359716,0.04157794
2014-01-23,-0.02334452,0.04197191
2014-01-24,0.067091,0.04389277
2014-01-27,-0.02227972,0.04468793
2014-01-28,-0.01570055,0.0464043
2014-01-29,0.04746777,0.04738379
2014-01-30,0.0105026,0.0476641
2014-01-31,0.05298162,0.04719703
2014-02-03,0.0361491,0.04759481
2014-02-04,-0.03818766,0.04764075
2014-02-05,0.07642892,0.05092516
2014-02-06,0.03459063,0.05166618
2014-02-07,0.04227659,0.05153888
2014-02-10,0.02290915,0.05156969
2014-02-11,-0.082477,0.05121328
2014-02-12,-0.03715416,0.05926779
2014-02-13,0.05515498,0.06197769
2014-02-14,-0.06556106,0.06187373
2014-02-17,-0.11436018,0.06750443
2014-02-18,-0.00512718,0.07833231
2014-02-19,0.03979091,0.07700147
2014-02-20,0.09556563,0.07597166
2014-02-21,0.0528666,0.07609537
2014-02-24,0.00805219,0.07536318
2014-02-25,0.04991487,0.07377979
2014-02-26,0.01761782,0.07308826
2014-02-27,-0.00219735,0.07178879
2014-02-28,0.09476314,0.0704489
2014-03-03,-0.02126137,0.07079316
2014-03-04,0.02990608,0.07139152
2014-03-05,-0.09585501,0.07040503
2014-03-06,-0.05212409,0.07895741
2014-03-07,-0.00955028,0.08235844
2014-03-10,0.06250344,0.08128607
2014-03-11,0.0248362,0.08051754
2014-03-12,-0.01986641,0.0790401
2014-03-13,0.02210757,0.07914055
2014-03-14,-0.07403291,0.07766985
2014-03-17,0.12712252,0.08345242
2014-03-18,-0.09183514,0.08387605
2014-03-19,0.0035084,0.09126389
2014-03-20,0.07595619,0.08888455
2014-03-21,-0.1164375,0.08803814
2014-03-24,-0.0676984,0.09790216
2014-03-25,0.03549401,0.10199255
2014-03-26,0.22241045,0.09972917
2014-03-27,-0.07889965,0.10130207
2014-03-28,0.09925643,0.1063868
2014-03-31,-0.10796789,0.10516159
2014-04-01,0.13695185,0.11312542
2014-04-02,0.00621901,0.11230761
2014-04-03,-0.13971768,0.10896492
2014-04-04,-0.0689872,0.12016412
2014-04-07,-0.02318031,0.12321082
2014-04-08,-0.11204459,0.1214899
2014-04-09,-0.16475883,0.1289548
2014-04-10,0.1866784,0.14165935
2014-04-11,-0.0225318,0.14030596
2014-04-14,-0.21680447,0.13760358
2014-04-15,-0.1339238,0.15552707
2014-04-16,0.09803434,0.16325951
2014-04-17,-0.13599539,0.15894563
2014-04-18,0.12763921,0.16668333
2014-04-21,0.06485069,0.16274884
2014-04-22,-0.10206408,0.15781944
2014-04-23,-0.14007045,0.16210418
2014-04-24,-0.19449839,0.17007207
2014-04-25,-0.07924654,0.18331237
2014-04-28,0.04078953,0.18373912
2014-04-29,-0.1903344,0.17711672
2014-04-30,0.34424447,0.18943765
2014-05-01,-0.01541391,0.18841482
2014-05-02,0.23271298,0.18224798
2014-05-05,0.16418717,0.1794544
2014-05-06,0.42568029,0.17548313
2014-05-07,-0.10372968,0.17694309
2014-05-08,0.07014256,0.18023462
2014-05-09,-0.01211065,0.17438745
2014-05-12,-0.06570862,0.16873438
2014-05-13,0.19195998,0.16868519
2014-05-14,0.18593867,0.1658946
2014-05-15,-0.06056927,0.16314853
2014-05-16,0.10015593,0.16291555
2014-05-19,-0.20404313,0.15866278
2014-05-20,0.15829804,0.17371072
2014-05-21,-0.12585712,0.1699645
2014-05-22,-0.11657888,0.17596032
2014-05-23,0.29790914,0.18062659
2014-05-26,-0.08149353,0.1792195
2014-05-27,0.05088591,0.18012173
2014-05-28,0.19289719,0.17390901
2014-05-29,0.01456369,0.17082948
2014-05-30,-0.02266333,0.16446168
2014-06-02,-0.11602718,0.16041142
2014-06-03,-0.01822521,0.16597882
2014-06-04,0.13362069,0.16140864
2014-06-05,-0.03467015,0.15789578
2014-06-06,-0.20254282,0.1553995
2014-06-09,-0.14809772,0.17050494
2014-06-10,0.22293177,0.178784
2014-06-11,-0.24909879,0.17600546
2014-06-12,0.09548404,0.19479725
2014-06-13,0.04670196,0.18856595
2014-06-16,0.14861023,0.1817688
2014-06-17,0.15579366,0.1773552
2014-06-18,0.06584874,0.17334455
2014-06-19,-0.06284225,0.16782026
2014-06-20,-0.28280902,0.16753892
2014-06-23,0.1444493,0.19074311
2014-06-24,-0.13157065,0.18570856
2014-06-25,-0.06259477,0.19130319
2014-06-26,0.07195509,0.18958064
2014-06-27,-0.01868162,0.18320993
2014-06-30,-0.13438018,0.17767138
2014-07-01,0.40332619,0.18406612
2014-07-02,0.20091943,0.18455282
2014-07-03,-0.25031205,0.18099569
2014-07-04,-0.19099716,0.19956138
2014-07-07,-0.33415434,0.21044268
2014-07-08,-0.06460422,0.23611362
2014-07-09,0.07983022,0.23175262
2014-07-10,-0.37579764,0.22291167
2014-07-11,0.52926509,0.25227396
2014-07-14,-0.03305837,0.25088539
2014-07-15,0.06799261,0.24248689
2014-07-16,0.00103674,0.23272721
2014-07-17,-0.13240121,0.2223134
2014-07-18,-0.09773786,0.22562007
2014-07-21,0.00707344,0.22522123
2014-07-22,0.30316666,0.21540029
2014-07-23,0.21128081,0.21194452
2014-07-24,0.19892403,0.20690551
2014-07-25,-0.41451278,0.20194019
2014-07-28,-0.23744338,0.23755066
2014-07-29,0.38173519,0.2506881
2014-07-30,-0.09732047,0.24648756
2014-07-31,-0.05180495,0.24467358
2014-08-01,0.06870078,0.23850191
2014-08-04,0.17331526,0.22901345
2014-08-05,0.15572042,0.22215378
2014-08-06,0.32825795,0.21538986
2014-08-07,-0.19622385,0.21242911
2014-08-08,0.1525151,0.22298487
2014-08-11,-0.19231791,0.21610609
2014-08-12,0.07689584,0.22600121
2014-08-13,-0.07914056,0.21747046
2014-08-14,-0.20976368,0.21574695
2014-08-15,-0.07819574,0.2274988
2014-08-18,-0.01781431,0.22503613
2014-08-19,-0.07336319,0.2168358
2014-08-20,-0.10568628,0.21458041
