date,returns,true_volatility,regime
2014-01-02,0.00064451,0.00707107,1
2014-01-03,0.00387142,0.00689245,1
2014-01-06,-0.00044525,0.00676892,1
2014-01-07,-0.00028815,0.00660596,1
2014-01-08,0.0035411,0.00644991,1
2014-01-09,0.0035378,0.00634149,1
2014-01-10,0.00245289,0.00623888,1
2014-01-13,-0.00839278,0.00611807,1
2014-01-14,-0.00328499,0.00629196,1
2014-01-15,-0.00160127,0.00620163,1
2014-01-16,0.00479541,0.00607855,1
2014-01-17,0.00057414,0.00603098,1
2014-01-20,-0.00202451,0.00590173,1
2014-01-21,0.00249078,0.00580193,1
2014-01-22,0.0021592,0.00570491,1
2014-01-23,-0.00610096,0.0056072,1
2014-01-24,0.00337673,0.00568229,1
2014-01-27,-0.00208373,0.00561262,1
2014-01-28,0.00147598,0.00552997,1
2014-01-29,0.00280683,0.00543222,1
2014-01-30,-0.00483988,0.00536261,1
2014-01-31,0.0068035,0.00539124,1
2014-02-03,-0.00524534,0.00549051,1
2014-02-04,0.00505172,0.00552929,1
2014-02-05,0.00384941,0.00552828,1
2014-02-06,-0.00065609,0.00548201,1
2014-02-07,0.00686986,0.00538465,1
2014-02-10,-0.00309083,0.00548845,1
2014-02-11,-0.0071197,0.00543961,1
2014-02-12,0.00042136,0.00559202,1
2014-02-13,-0.0048315,0.00548475,1
2014-02-14,-0.00010852,0.00550393,1
2014-02-17,0.00175092,0.00540195,1
2014-02-18,0.00838367,0.00531448,1
2014-02-19,-0.00096506,0.00552575,1
2014-02-20,0.00085909,0.00542923,1
2014-02-21,0.00381011,0.00533187,1
2014-02-24,0.0045052,0.00529668,1
2014-02-25,-0.00031543,0.00528916,1
2014-02-26,0.00501098,0.0051996,1
2014-02-27,-0.00492461,0.00522044,1
2014-02-28,-0.00246602,0.00526404,1
2014-03-03,-0.00328405,0.00521085,1
2014-03-04,-0.00135568,0.00518599,1
2014-03-05,0.00336491,0.00511361,1
2014-03-06,0.00039685,0.00507821,1
2014-03-07,0.00505792,0.00499835,1
2014-03-10,-0.00651619,0.00503652,1
2014-03-11,-0.00266283,0.00518786,1
2014-03-12,0.00415148,0.00514479,1
2014-03-13,-0.00041676,0.00513398,1
2014-03-14,-0.00156942,0.00505355,1
2014-03-17,-0.0093265,0.00499254,1
2014-03-18,0.0036646,0.00536788,1
2014-03-19,-0.00549155,0.00532571,1
2014-03-20,0.00253074,0.00539026,1
2014-03-21,-0.00517842,0.00531694,1
2014-03-24,-0.0026014,0.00536578,1
2014-03-25,0.00824869,0.00531009,1
2014-03-26,-0.00528465,0.00551202,1
2014-03-27,-0.00479142,0.00555113,1
2014-03-28,-0.00091245,0.00556364,1
2014-03-31,-0.00962335,0.0054645,1
2014-04-01,0.00022848,0.00580467,1
2014-04-02,0.00044335,0.00568646,1
2014-04-03,-0.00136871,0.00557435,1
2014-04-04,-0.00432099,0.00548065,1
2014-04-07,-0.00026159,0.00547746,1
2014-04-08,-0.00333558,0.00537756,1
2014-04-09,-0.00160494,0.00534366,1
2014-04-10,-0.00405715,0.00526662,1
2014-04-11,0.00324683,0.00526735,1
2014-04-14,-0.00187201,0.00521891,1
2014-04-15,0.00504031,0.00515425,1
2014-04-16,-0.0042039,0.00517979,1
2014-04-17,-0.00126337,0.00519291,1
2014-04-18,-0.00334122,0.00511868,1
2014-04-21,0.00244481,0.00510194,1
2014-04-22,0.00583236,0.00504358,1
2014-04-23,0.00403865,0.00511736,1
2014-04-24,0.00828907,0.00510423,1
2014-04-25,0.00297926,0.00533111,1
2014-04-28,-0.00789023,0.00527164,1
2014-04-29,0.00128596,0.00549535,1
2014-04-30,0.00571042,0.00539755,1
2014-05-01,0.00393204,0.00543671,1
2014-05-02,0.00067905,0.00539892,1
2014-05-05,0.00101764,0.00530237,1
2014-05-06,0.00088501,0.00521276,1
2014-05-07,-0.00875113,0.00512717,1
2014-05-08,-0.00423343,0.00543543,1
2014-05-09,0.00311311,0.0054317,1
2014-05-12,0.0064414,0.00536971,1
2014-05-13,-0.00405136,0.00544989,1
2014-05-14,-0.00284186,0.00543773,1
2014-05-15,0.00227139,0.00538448,1
2014-05-16,0.00232351,0.00530636,1
2014-05-19,-0.00087395,0.00523366,1
2014-05-20,-0.00390525,0.00515196,1
2014-05-21,0.00406613,0.00515451,1
2014-05-22,0.00478496,0.00513987,1
2014-05-23,-0.00696549,0.00515507,1
2014-05-26,-0.00760136,0.00532484,1
2014-05-27,0.00306836,0.00552184,1
2014-05-28,0.0010255,0.0054534,1
2014-05-29,-0.00465349,0.00535575,1
2014-05-30,-0.00130839,0.00537616,1
2014-06-02,0.00082774,0.00529237,1
2014-06-03,0.00554316,0.00520216,1
2014-06-04,0.00307143,0.00524811,1
2014-06-05,0.00329175,0.00519603,1
2014-06-06,0.00360274,0.00515328,1
2014-06-09,0.00089797,0.00512277,1
2014-06-10,0.00036569,0.00504219,1
2014-06-11,-0.00028281,0.00496429,1
2014-06-12,0.0035018,0.00489245,1
2014-06-13,-0.0022554,0.00487577,1
2014-06-16,-0.0062455,0.00484103,1
2014-06-17,0.00504906,0.00499372,1
2014-06-18,0.00344669,0.00503183,1
2014-06-19,0.01189541,0.0050042,1
2014-06-20,0.00488177,0.00556882,1
2014-06-23,-0.00142186,0.00555793,1
2014-06-24,-0.00244561,0.00546594,1
2014-06-25,0.01030771,0.00540019,1
2014-06-26,0.00494206,0.00575573,1
2014-06-27,-0.00815631,0.00573471,1
2014-06-30,-0.00325036,0.00592961,1
2014-07-01,-0.00019056,0.00585912,1
2014-07-02,0.00641947,0.00573919,1
2014-07-03,-0.00313052,0.00578835,1
2014-07-04,-0.01238993,0.00572259,1
2014-07-07,0.00408219,0.00628549,1
2014-07-08,-0.0087167,0.00620138,1
2014-07-09,-0.00180957,0.00638985,1
2014-07-10,-0.0106039,0.00626056,1
2014-07-11,-0.00324276,0.00658754,1
2014-07-14,-4.555e-05,0.00647963,1
2014-07-15,-0.01151616,0.00632871,1
2014-07-16,-0.00679313,0.00672532,1
2014-07-17,0.00230002,0.00675126,1
2014-07-18,-0.00314062,0.00660219,1
2014-07-21,0.00490193,0.00649073,1
2014-07-22,-0.00381232,0.00642179,1
2014-07-23,-0.00713275,0.00634021,1
2014-07-24,-0.00713224,0.00641456,1
2014-07-25,0.00358996,0.00648292,1
2014-07-28,0.00633237,0.00637397,1
2014-07-29,0.00137297,0.00637205,1
2014-07-30,0.00512109,0.00623044,1
2014-07-31,0.00518595,0.00618573,1
2014-08-01,-0.00803552,0.00614642,1
2014-08-04,-0.00544425,0.00629349,1
2014-08-05,-0.0004507,0.00628373,1
2014-08-06,0.00130584,0.00614406,1
2014-08-07,0.00117873,0.00601312,1
2014-08-08,-0.00038432,0.00588771,1
2014-08-11,-0.00314478,0.00576732,1
2014-08-12,0.00081376,0.00570325,1
2014-08-13,0.00081207,0.00559136,1
2014-08-14,-0.00126132,0.00548525,1
2014-08-15,0.00344975,0.00539479,1
2014-08-18,-0.0011975,0.00534439,1
2014-08-19,-0.00025299,0.00526073,1
2014-08-20,0.0016141,0.00517236,1
2014-08-21,-0.00281861,0.00509577,1
2014-08-22,0.00785149,0.00506315,1
2014-08-25,-0.00468675,0.00526234,1
2014-08-26,0.00273256,0.00529124,1
2014-08-27,-0.00701568,0.00522812,1
2014-08-28,-0.00064435,0.00539406,1
2014-08-29,-0.00462712,0.0053013,1
2014-09-01,-0.00263945,0.0053245,1
2014-09-02,0.0089841,0.00527236,1
2014-09-03,-0.00189965,0.00553377,1
2014-09-04,0.00148869,0.0054517,1
2014-09-05,-0.00280034,0.00535828,1
2014-09-08,0.00870379,0.00530867,1
2014-09-09,0.01537536,0.00554441,1
2014-09-10,-0.00647211,0.00639937,1
2014-09-11,-0.00982551,0.0064326,1
2014-09-12,-0.00554236,0.00667894,1
2014-09-15,0.00796203,0.00664773,1
2014-09-16,-0.00050602,0.00671075,1
2014-09-17,-0.01357179,0.0065509,1
2014-09-18,-0.00881025,0.00710856,1
2014-09-19,0.00174573,0.00722109,1
2014-09-22,-0.00086696,0.00704263,1
2014-09-23,0.00975591,0.00686985,1
2014-09-24,0.00131676,0.0070258,1
2014-09-25,-0.0023183,0.00685261,1
2014-09-26,-0.00371435,0.00670924,1
2014-09-29,-0.00466854,0.00660823,1
2014-09-30,-0.00692282,0.0065457,1
2014-10-01,-0.00134507,0.00659207,1
2014-10-02,0.00544649,0.00644584,1
2014-10-03,-0.00443796,0.00640037,1
2014-10-06,-0.00198899,0.0063419,1
2014-10-07,0.00137925,0.00621822,1
2014-10-08,0.0078,0.00608423,1
2014-10-09,0.00117403,0.00618378,1
2014-10-10,0.00117534,0.00604984,1
2014-10-13,0.00421306,0.00592257,1
2014-10-14,0.00108744,0.00586405,1
2014-10-15,0.00118101,0.00574552,1
2014-10-16,-0.00178609,0.00563374,1
2014-10-17,0.00727376,0.0055439,1
2014-10-20,0.00149127,0.00565819,1
2014-10-21,-0.00342639,0.00555383,1
2014-10-22,0.00322132,0.00551182,1
2014-10-23,0.00094481,0.00544796,1
2014-10-24,-0.00790962,0.00535008,1
2014-10-27,0.00158324,0.00556684,1
2014-10-28,-0.00343417,0.00546834,1
2014-10-29,-0.00137058,0.00543201,1
2014-10-30,0.00407758,0.0053461,1
