date,tech,health,finance,energy,consumer
2016-01-04,-0.01049014,-0.02223415,0.00650263,-0.00660096,-0.01423216
2016-01-05,-0.00476036,0.00307755,-0.01526986,-0.0225654,-0.00069908
2016-01-06,-0.00818496,0.00763558,-0.00345115,-0.00472684,0.0035596
2016-01-07,0.01777729,0.01457223,0.01643503,3.139e-05,0.00276487
2016-01-08,0.01429559,-0.01087768,-0.00147464,0.00534417,-0.00597488
2016-01-11,0.00401619,-0.00184427,0.0105058,0.00624305,-0.00265831
2016-01-12,-0.00618149,-0.01409094,-0.00956935,-0.02966297,-0.00349469
2016-01-13,-0.00915543,0.00497487,-0.00153516,-0.01091823,-0.00187949
2016-01-14,0.01106091,0.01114371,-0.0005191,0.00571736,0.00134316
2016-01-15,0.0092385,0.00015569,0.01138469,0.00922291,-0.00089464
2016-01-18,-0.00959293,-0.00149987,-0.01789495,-0.02389967,0.01007629
2016-01-19,0.00667155,-0.00077003,0.00548088,0.00708049,0.00482805
2016-01-20,-0.00310658,-0.00709015,-0.00400148,0.0085187,-0.00475875
2016-01-21,0.01510486,0.02192297,-0.0185561,0.00948969,0.00953587
2016-01-22,0.0066311,0.00337605,0.00874847,-0.03640409,-0.00306469
2016-01-25,0.0144342,0.01200393,0.00702383,0.01688639,0.01792843
2016-01-26,-0.0002929,-0.00217047,0.01414959,0.01314556,-0.00223347
2016-01-27,-0.01020689,-0.021787,-0.00059841,-0.02920656,-0.00574964
2016-01-28,0.0056315,0.0059232,-0.01931091,0.00580361,0.00263126
2016-01-29,0.00660812,0.04113121,0.02236924,0.00015996,0.0026151
2016-02-01,0.00475884,-0.0115629,-0.00477877,-0.00895924,-0.00981664
2016-02-02,-0.00623493,-0.00960995,-0.00106961,-0.00475343,-0.01510453
2016-02-03,-0.00638608,0.00560014,-0.00843067,-0.01953322,-0.01470864
2016-02-04,-0.00123819,-0.01325866,0.00100539,-0.02588378,-0.01133178
2016-02-05,-0.02073404,-0.00920258,-0.02446376,-0.00794881,-0.00957311
2016-02-08,0.01907442,0.00239953,0.01769489,-0.0214534,0.01062522
2016-02-09,0.00674458,-0.00691092,-0.01454473,0.01426913,-0.00583235
2016-02-10,0.0089049,-0.00273013,-0.00623188,0.00306689,-0.0020609
2016-02-11,0.01345662,-0.00188656,0.00290842,0.01355585,0.00948363
2016-02-12,0.00930788,0.00140483,0.00309474,0.00917037,0.00329348
2016-02-15,-0.00692117,-0.00183975,0.00224105,0.01808249,0.0046732
2016-02-16,0.00235689,0.00074573,0.00380379,0.00777881,0.0113257
2016-02-17,-0.01336706,-0.00044539,-0.00697818,0.00283093,-0.0090965
2016-02-18,-0.01591233,-0.01428754,-0.0134369,0.00860065,-0.0007662
2016-02-19,-0.00208766,0.00087088,0.01388991,0.00050888,0.00492344
