date,growth
2000-01-01,0.2
2000-02-01,0.1524
2000-03-01,0.111
2000-04-01,0.4557
2000-05-01,0.7825
2000-06-01,0.5069
2000-07-01,0.643
2000-08-01,0.2394
2000-09-01,0.7365
2000-10-01,0.1935
2000-11-01,-0.2914
2000-12-01,0.3459
2001-01-01,-0.1732
2001-02-01,-0.9967
2001-03-01,-1.1247
2001-04-01,-0.0856
2001-05-01,0.4114
2001-06-01,-0.1848
2001-07-01,-2.3461
2001-08-01,-2.5169
2001-09-01,-1.8889
2001-10-01,-1.2652
2001-11-01,-1.0746
2001-12-01,-1.2683
2002-01-01,-0.6981
2002-02-01,-0.4704
2002-03-01,-1.607
2002-04-01,-1.6369
2002-05-01,-0.8047
2002-06-01,0.0102
2002-07-01,0.2455
2002-08-01,-0.0415
2002-09-01,0.3026
2002-10-01,-0.4845
2002-11-01,-0.1416
2002-12-01,0.2523
2003-01-01,-0.0025
2003-02-01,-1.1144
2003-03-01,-0.0917
2003-04-01,1.2955
2003-05-01,0.449
2003-06-01,0.4905
2003-07-01,0.3579
2003-08-01,0.1602
2003-09-01,0.0663
2003-10-01,0.7917
2003-11-01,0.8967
2003-12-01,1.513
2004-01-01,-0.2391
2004-02-01,0.1065
2004-03-01,0.5224
2004-04-01,0.0908
2004-05-01,0.8378
2004-06-01,-0.5366
2004-07-01,0.1555
2004-08-01,0.2796
2004-09-01,1.0739
2004-10-01,0.0911
2004-11-01,-0.4408
2004-12-01,-0.3154
2005-01-01,-1.5252
2005-02-01,-1.2038
2005-03-01,-0.9896
2005-04-01,0.3031
2005-05-01,0.6176
2005-06-01,-1.2406
2005-07-01,-1.4202
2005-08-01,-0.7612
2005-09-01,-0.7283
2005-10-01,1.2636
2005-11-01,0.7645
2005-12-01,1.0647
2006-01-01,0.4457
2006-02-01,1.0517
2006-03-01,0.2197
2006-04-01,0.4774
2006-05-01,-0.0355
2006-06-01,-0.4475
2006-07-01,0.2016
2006-08-01,-0.7643
2006-09-01,-0.9184
2006-10-01,-1.771
2006-11-01,-1.5387
2006-12-01,-0.0082
2007-01-01,-1.5806
2007-02-01,-0.6206
2007-03-01,-0.2947
2007-04-01,0.2924
2007-05-01,0.8733
2007-06-01,-0.3625
2007-07-01,-2.0453
2007-08-01,-2.5671
2007-09-01,-1.5054
2007-10-01,-2.4664
2007-11-01,-0.9667
2007-12-01,-1.2207
2008-01-01,-0.5457
2008-02-01,-0.6547
2008-03-01,-0.3412
2008-04-01,0.1664
2008-05-01,-0.3603
2008-06-01,0.4352
2008-07-01,0.1778
2008-08-01,-0.5474
2008-09-01,-0.6376
2008-10-01,-1.4871
2008-11-01,-1.8376
2008-12-01,-1.4505
2009-01-01,0.201
2009-02-01,-0.1281
2009-03-01,-1.3584
2009-04-01,-0.2792
2009-05-01,0.5119
2009-06-01,-0.3437
2009-07-01,-0.1896
2009-08-01,-0.5843
2009-09-01,-1.1125
2009-10-01,-1.7802
2009-11-01,0.2926
2009-12-01,0.5719
2010-01-01,0.2329
2010-02-01,0.4081
2010-03-01,-0.2884
2010-04-01,-0.3564
2010-05-01,-1.0818
2010-06-01,-0.0277
2010-07-01,0.4635
2010-08-01,-0.1901
2010-09-01,0.6107
2010-10-01,-0.0981
2010-11-01,-0.3731
2010-12-01,-0.1002
2011-01-01,0.9024
2011-02-01,0.2667
2011-03-01,-1.4874
2011-04-01,0.9378
2011-05-01,1.5997
2011-06-01,-0.0165
